Karam, Y.; Baker, T.; Taleb-Bendiab, A.
Toan Phung; Loke, S.W.; Harland, J.
Ledru, Y.; Richier, J.; Idani, A.; Labiadh, M.
Dalal Alrajeh, Alessandra Russo, James Lockerbie, Neil Maiden, Alistair Mavin, Mark Novak
Hiroyuki Nakagawa, Akihiko Ohsuga, Shinichi Honiden
Amy Lo, Eric Yu
Jose-Norberto Mazón, Jesús Pardillo, Juan Trujillo
George Koliadis, Aleksandar Vranesevic, Moshiur Bhuiyan, Aneesh Krishna, Aditya Ghose
Almir Buarque, Jaelson Castro, Fernanda Alencar
Hiroyuki Nakagawa, Takuya Karube, Shinichi Honiden
Alexei Lapouchnian, Sotirios Liaskos, John Mylopoulos, Yijun Yu
Catalin Bidian
M. Morandini, L. Penserini, A. Perini
Miguel A. Laguna, Bruno Gonzalez-Baixauli
Hesam Chiniforooshan Esfahani, Eric Yu, Maria Carmela Annosi
Loris Penserini, Anna Perini, Angelo Susi, John Mylopoulos
Dalal Alrajeh, Jeff Kramer, Alessandra Russo, Sebastin Uchitel
Sombat Chanvilai, Kozo Honda, Hiroyuki Nakagawa, Yasuyuki Tahara, Akihiko Ohsuga
Diego Dermeval, Jaelson Castro, Carla Silva, Joao Pimentel, Ig Ibert Bittencourt, Patrick Brito, Endhe Elias, Thyago Tenório, Alan Pedro
Luciano Baresi, Liliana Pasquale
Prabhat Ranjan, A. K. Misra
Joseph Gillain, Stephane Faulkner, Patrick Heymans, Ivan Jureta, Monique Snoeck
Rim Samia Kaabi, Carine Souveyet, Colette Rolland
Hiroyuki Nakagawa, Nobukazu Yoshioka, Akihiko Ohsuga, Shinichi Honiden
Masayuki Shibaoka, Haruhiko Kaiya, Motoshi Saeki
Yiqiao Wang, Sheila A. McIlraith, Yijun Yu, John Mylopoulos
Loris Penserini, Anna Perini, Angelo Susi, Mirko Morandini, John Mylopoulos
Imam M. Shofi, Eko K. Budiardjo
L. O. Meertens, M. E. Iacob, L. J. M. Nieuwenhuis
Steven J. Bleistein, Karl Cox, June Verner
Shareeful Islam,Haralambos Mouratidis,Stefan Wagner
Luz María Priego-Roche, Lucinéia Heloisa Thom, Agnès Front, Dominique Rieu, Jan Mendling
Haralambos Mouratidis,Jan Jürjens,Jorge Fox
Ayman Mahfouz, Leonor Barroca, Robin Laney, Bashar Nuseibeh
Matthias Jarke,Hans W. Nissen,Thomas Rose,Dominik Schmitz
Daniele Barone,Liam Peyton,Flavio Rizzolo,Daniel Amyot,John Mylopoulos
Dominik Schmitz,Ming Zhang,Thomas Rose,Matthias Jarke,Andreas Polzer,Jacob Palczynski,Stefan Kowalewski,Michael Reke
G. Beydoun, A. K. Krishna, A. Ghose, G. C. Low
Duy Cu Nguyen,Anna Perini,Paolo Tonella
Nadzeya Kiyavitskaya,Nicola Zannone
Hyeoncheol Lee,Yeong-tae Song
N. A. M. Maiden, S. Manning, S. Jones, J. Greenwood
Emanuel Santos, Joao Pimentel, Jaelson Castro, Juan Sánchez, Oscar Pastor
George Koliadis; Aleksandar Vranesevic; Moshiur Bhuiyan; Aneesh Krishna; Aditya Ghose
Goldsby, H.J. ;Konrad, S. ; Cheng, B.H.C.
R Hassan, M Eltoweissy, S Bohner, S El-Kassas
Lin Bai, Dan Ye, Jun Wei
Silvia Ingolfo, Alberto Siena, John Mylopoulos
Matoussi, A. ; Gervais, F. ; Laleau, R.
Ponsard, C. ;  Delehaye, M.
Monique Snoeck
Geert Poels
Uchitel, S.; Chatley, R. ; Kramer, J. ; Magee, J.
Fletcher, J. ; Cleland-Huang, J.
Arosha K Bandara , Emil C Lupu , Jonathan Moffett , Alessandra Russo
Jingwei Yang ;  Lin Liu
Zhi Liu ; Tianzhou Wang
Khallouf, J. ; Winikoff, M.
Coelho, K.  ; Batista, T.
Carlos Cares, Xavier Franch
Nunes, V.T. ; Werner, C.M.L. ; Santoro, F.M.
Verlaine, B. ;  Dubois, Y. ; Jureta, I.J. ; Faulkner, S.
Glorio, O. ; Pardillo, J. ; Mazo?n, J. ; Trujillo, J.
L Baresi, L Pasquale
Jane Cleland-Huang, Raffaella Settimi, Oussama BenKhadra, Eugenia Berezhanskaya, Selvia Christina
Hassan, R. ;  Bohner, S. ; El-Kassas, S. ; Eltoweissy, M.
S.VenkatesanI, S.Mohamed Saleem 
Mohammad M R Bhuiyan, M.M.Zahidul Islam, Aneesh Krishna, Aditya Ghose
Kadan Aljoumaa, Saïd Assar, Carine Souveyet
Nariman Mani, Vahid Garousi, Behrouz H. Far
Lin Liu, Zhi Jin
Colette Rolland, Rim-Samia Kaabi
Akos Szoke
Luiz Olavo Bonino da Silva Santos, Luis Ferreira Pires, and Marten van Sinderen
Alain Wegmann, Gil Regev, Irina Rychkova, Lam-Son Lê, Jose Diego de la Cruz, Philippe Julia
Javier Rubio-Loyola, Joan Serrat, Marinos Charalambides, Paris Flegkas, George Pavlou
Hermann Kaindl, Patrick Wagner
Joao Pimentel, Jaelson Castro, Hermano Perrelli, Joao Pimentel, Jaelson Castro, Hermano Perrelli, Emanuel Santos, Xavier Franch
Alberto Siena, Anna Perini, Angelo Susi, John Mylopoulos
